priority,score,system,year,project_document,why_it_matters,captures,unique_versions,mime_type,original,archive_exact,archive_history
HIGH,8,Dominion / Grants,2025,2016 41 Designation of City Manager to Apply for Homeland Security Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1126/2016-41-Designation-of-City-Manager-to-Apply-for-Homeland-Security-Grant-PDF,https://web.archive.org/web/20250928230643/https://www.copperascovetx.gov/DocumentCenter/View/1126/2016-41-Designation-of-City-Manager-to-Apply-for-Homeland-Security-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1126/2016-41-Designation-of-City-Manager-to-Apply-for-Homeland-Security-Grant-PDF
HIGH,8,Dominion / Grants,2025,2017 06 OOG and CJD Justice Assistance Grant Program PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1052/2017-06-OOG-and-CJD-Justice-Assistance-Grant-Program-PDF,https://web.archive.org/web/20250925210908/https://www.copperascovetx.gov/DocumentCenter/View/1052/2017-06-OOG-and-CJD-Justice-Assistance-Grant-Program-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1052/2017-06-OOG-and-CJD-Justice-Assistance-Grant-Program-PDF
HIGH,8,Dominion / Grants,2025,2017 09 Designation of City Manager to Apply for Homeland Security Grants PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1055/2017-09-Designation-of-City-Manager-to-Apply-for-Homeland-Security-Grants-PDF,https://web.archive.org/web/20250925210630/https://www.copperascovetx.gov/DocumentCenter/View/1055/2017-09-Designation-of-City-Manager-to-Apply-for-Homeland-Security-Grants-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1055/2017-09-Designation-of-City-Manager-to-Apply-for-Homeland-Security-Grants-PDF
HIGH,8,Dominion / Grants,2025,2018 01 Emergency Management Performance Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1003/2018-01-Emergency-Management-Performance-Grant-PDF,https://web.archive.org/web/20250925210323/https://www.copperascovetx.gov/DocumentCenter/View/1003/2018-01-Emergency-Management-Performance-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1003/2018-01-Emergency-Management-Performance-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 02 Homeland Security Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1004/2018-02-Homeland-Security-Grant-PDF,https://web.archive.org/web/20250925211220/https://www.copperascovetx.gov/DocumentCenter/View/1004/2018-02-Homeland-Security-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1004/2018-02-Homeland-Security-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 04 Authorized Official Homeland Security Grants PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1005/2018-04-Authorized-Official-Homeland-Security-Grants-PDF,https://web.archive.org/web/20250925210615/https://www.copperascovetx.gov/DocumentCenter/View/1005/2018-04-Authorized-Official-Homeland-Security-Grants-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1005/2018-04-Authorized-Official-Homeland-Security-Grants-PDF
HIGH,8,Dominion / Grants,2025,2018 06 Authorized Official Emergency Management Performance Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1007/2018-06-Authorized-Official-Emergency-Management-Performance-Grant-PDF,https://web.archive.org/web/20250928105250/https://www.copperascovetx.gov/DocumentCenter/View/1007/2018-06-Authorized-Official-Emergency-Management-Performance-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1007/2018-06-Authorized-Official-Emergency-Management-Performance-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 07 Authorized Official Texas Parks and Wildlife Grants PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1008/2018-07-Authorized-Official-Texas-Parks-and-Wildlife-Grants-PDF,https://web.archive.org/web/20250928100301/https://www.copperascovetx.gov/DocumentCenter/View/1008/2018-07-Authorized-Official-Texas-Parks-and-Wildlife-Grants-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1008/2018-07-Authorized-Official-Texas-Parks-and-Wildlife-Grants-PDF
HIGH,8,Dominion / Grants,2025,2018 09 Authorized Official Justice Assistance Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1010/2018-09-Authorized-Official-Justice-Assistance-Grant-PDF,https://web.archive.org/web/20250928100527/https://www.copperascovetx.gov/DocumentCenter/View/1010/2018-09-Authorized-Official-Justice-Assistance-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1010/2018-09-Authorized-Official-Justice-Assistance-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 10 Authorized Official Bulletproof Vest Partnership Program Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1011/2018-10-Authorized-Official-Bulletproof-Vest-Partnership-Program-Grant-PDF,https://web.archive.org/web/20250928022828/https://www.copperascovetx.gov/DocumentCenter/View/1011/2018-10-Authorized-Official-Bulletproof-Vest-Partnership-Program-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1011/2018-10-Authorized-Official-Bulletproof-Vest-Partnership-Program-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 28 TSLAC Loan Lending Reimbursement Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1027/2018-28-TSLAC-Loan-Lending-Reimbursement-Grant-PDF,https://web.archive.org/web/20250926100222/https://www.copperascovetx.gov/DocumentCenter/View/1027/2018-28-TSLAC-Loan-Lending-Reimbursement-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1027/2018-28-TSLAC-Loan-Lending-Reimbursement-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 33 FY2018 JAG Grant Application PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1031/2018-33-FY2018-JAG-Grant-Application-PDF,https://web.archive.org/web/20250928190639/https://www.copperascovetx.gov/DocumentCenter/View/1031/2018-33-FY2018-JAG-Grant-Application-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1031/2018-33-FY2018-JAG-Grant-Application-PDF
HIGH,8,Dominion / Grants,2025,2018 38 Spay and Neuter Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1036/2018-38-Spay-and-Neuter-Grant-PDF,https://web.archive.org/web/20250928110804/https://www.copperascovetx.gov/DocumentCenter/View/1036/2018-38-Spay-and-Neuter-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1036/2018-38-Spay-and-Neuter-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 47 Authorizing City Manager to Apply Accept Reject Alter or Terminate a Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1043/2018-47-Authorizing-City-Manager-to-Apply-Accept-Reject-Alter-or-Terminate-a-Grant-PDF,https://web.archive.org/web/20250927084807/https://www.copperascovetx.gov/DocumentCenter/View/1043/2018-47-Authorizing-City-Manager-to-Apply-Accept-Reject-Alter-or-Terminate-a-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1043/2018-47-Authorizing-City-Manager-to-Apply-Accept-Reject-Alter-or-Terminate-a-Grant-PDF
HIGH,8,Dominion / Grants,2025,2018 48 Authorizing City Manager to Apply Accept Reject Alter or Terminate a Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1044/2018-48-Authorizing-City-Manager-to-Apply-Accept-Reject-Alter-or-Terminate-a-Grant-PDF,https://web.archive.org/web/20250925210228/https://www.copperascovetx.gov/DocumentCenter/View/1044/2018-48-Authorizing-City-Manager-to-Apply-Accept-Reject-Alter-or-Terminate-a-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1044/2018-48-Authorizing-City-Manager-to-Apply-Accept-Reject-Alter-or-Terminate-a-Grant-PDF
HIGH,8,Dominion / Grants,2025,2019 02 Emergency Management Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/967/2019-02-Emergency-Management-Grant-PDF,https://web.archive.org/web/20250928090919/https://www.copperascovetx.gov/DocumentCenter/View/967/2019-02-Emergency-Management-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/967/2019-02-Emergency-Management-Grant-PDF
HIGH,8,Dominion / Grants,2025,2019 05 Justice Assistance Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/970/2019-05-Justice-Assistance-Grant-PDF,https://web.archive.org/web/20250925214431/https://www.copperascovetx.gov/DocumentCenter/View/970/2019-05-Justice-Assistance-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/970/2019-05-Justice-Assistance-Grant-PDF
HIGH,8,Dominion / Grants,2025,2019 18 Authorizing and Designating the CM to Apply Accept Reject Alter Terminate and Close Hancher Library Grants PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/977/2019-18-Authorizing-and-Designating-the-CM-to-Apply-Accept-Reject-Alter-Terminate-and-Close-Hancher-Library-Grants-PDF,https://web.archive.org/web/20250928094323/https://www.copperascovetx.gov/DocumentCenter/View/977/2019-18-Authorizing-and-Designating-the-CM-to-Apply-Accept-Reject-Alter-Terminate-and-Close-Hancher-Library-Grants-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/977/2019-18-Authorizing-and-Designating-the-CM-to-Apply-Accept-Reject-Alter-Terminate-and-Close-Hancher-Library-Grants-PDF
HIGH,8,Dominion / Grants,2025,2019 21 Authorization of CM to Apply Accet Reject Alter and Terminate a Grant From OJPBJA JAG PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/980/2019-21-Authorization-of-CM-to-Apply-Accet-Reject-Alter-and-Terminate-a-Grant-From-OJPBJA-JAG-PDF,https://web.archive.org/web/20250928082658/https://www.copperascovetx.gov/DocumentCenter/View/980/2019-21-Authorization-of-CM-to-Apply-Accet-Reject-Alter-and-Terminate-a-Grant-From-OJPBJA-JAG-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/980/2019-21-Authorization-of-CM-to-Apply-Accet-Reject-Alter-and-Terminate-a-Grant-From-OJPBJA-JAG-PDF
HIGH,8,Dominion / Grants,2025,2020 04 Grant Authorization for Fiscal Year 2021 Justice Assistance Grant Program PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/927/2020-04-Grant-Authorization-for-Fiscal-Year-2021-Justice-Assistance-Grant-Program-PDF,https://web.archive.org/web/20250926095949/https://www.copperascovetx.gov/DocumentCenter/View/927/2020-04-Grant-Authorization-for-Fiscal-Year-2021-Justice-Assistance-Grant-Program-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/927/2020-04-Grant-Authorization-for-Fiscal-Year-2021-Justice-Assistance-Grant-Program-PDF
HIGH,8,Dominion / Grants,2025,2020 05 Grant Authorization for Fiscal Year 2020 Defense Economic Adjustment Assistance Grant Program PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/928/2020-05-Grant-Authorization-for-Fiscal-Year-2020-Defense-Economic-Adjustment-Assistance-Grant-Program-PDF,https://web.archive.org/web/20250925210541/https://www.copperascovetx.gov/DocumentCenter/View/928/2020-05-Grant-Authorization-for-Fiscal-Year-2020-Defense-Economic-Adjustment-Assistance-Grant-Program-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/928/2020-05-Grant-Authorization-for-Fiscal-Year-2020-Defense-Economic-Adjustment-Assistance-Grant-Program-PDF
HIGH,8,Dominion / Grants,2025,2020 13 Allowing City Manager to Conduct Actions for a Bureau of Justice Grant for the Corona Virus PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/935/2020-13-Allowing-City-Manager-to-Conduct-Actions-for-a-Bureau-of-Justice-Grant-for-the-Corona-Virus-PDF,https://web.archive.org/web/20250926061435/https://www.copperascovetx.gov/DocumentCenter/View/935/2020-13-Allowing-City-Manager-to-Conduct-Actions-for-a-Bureau-of-Justice-Grant-for-the-Corona-Virus-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/935/2020-13-Allowing-City-Manager-to-Conduct-Actions-for-a-Bureau-of-Justice-Grant-for-the-Corona-Virus-PDF
HIGH,8,Dominion / Grants,2025,2020 14 Bureau of Justice Assistance Program for BVP Authorizing Police Chief to act as Chief Executive for Grant Requirements PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/936/2020-14-Bureau-of-Justice-Assistance-Program-for-BVP-Authorizing-Police-Chief-to-act-as-Chief-Executive-for-Grant-Requirements-PDF,https://web.archive.org/web/20250925212031/https://www.copperascovetx.gov/DocumentCenter/View/936/2020-14-Bureau-of-Justice-Assistance-Program-for-BVP-Authorizing-Police-Chief-to-act-as-Chief-Executive-for-Grant-Requirements-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/936/2020-14-Bureau-of-Justice-Assistance-Program-for-BVP-Authorizing-Police-Chief-to-act-as-Chief-Executive-for-Grant-Requirements-PDF
HIGH,8,Dominion / Grants,2025,2020 16 City Manager Designation as Authorized Person for TCLAC Cares Grants Fiscal Year 2020 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/938/2020-16-City-Manager-Designation-as-Authorized-Person-for-TCLAC-Cares-Grants-Fiscal-Year-2020-PDF,https://web.archive.org/web/20250925215226/https://www.copperascovetx.gov/DocumentCenter/View/938/2020-16-City-Manager-Designation-as-Authorized-Person-for-TCLAC-Cares-Grants-Fiscal-Year-2020-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/938/2020-16-City-Manager-Designation-as-Authorized-Person-for-TCLAC-Cares-Grants-Fiscal-Year-2020-PDF
HIGH,8,Dominion / Grants,2025,2020 19 CEFS Grant COVID 19 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/941/2020-19-CEFS-Grant-COVID-19-PDF,https://web.archive.org/web/20250925210019/https://www.copperascovetx.gov/DocumentCenter/View/941/2020-19-CEFS-Grant-COVID-19-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/941/2020-19-CEFS-Grant-COVID-19-PDF
HIGH,8,Dominion / Grants,2025,2020 28 Grant from the Office of Justice Programs PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/949/2020-28-Grant-from-the-Office-of-Justice-Programs-PDF,https://web.archive.org/web/20250925212434/https://www.copperascovetx.gov/DocumentCenter/View/949/2020-28-Grant-from-the-Office-of-Justice-Programs-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/949/2020-28-Grant-from-the-Office-of-Justice-Programs-PDF
HIGH,8,Dominion / Grants,2025,2021 03 Authorizing the Chief of Police for Grants from OOG PSO CJD and JAG PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/909/2021-03-Authorizing-the-Chief-of-Police-for-Grants-from-OOG-PSO-CJD-and-JAG-PDF,https://web.archive.org/web/20250929042525/https://www.copperascovetx.gov/DocumentCenter/View/909/2021-03-Authorizing-the-Chief-of-Police-for-Grants-from-OOG-PSO-CJD-and-JAG-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/909/2021-03-Authorizing-the-Chief-of-Police-for-Grants-from-OOG-PSO-CJD-and-JAG-PDF
